idx,train_avg_reward,train_step_count_max,lr,eval_reward_mean,eval_reward_sum,eval_step_count_max
0,-0.03936309739947319,998,0.0003,-1.7131092988620367e-08,-1.711396180326119e-05,998
1,-0.03985118120908737,998,0.00029999925978027874,-2.7533445972949266e-05,-0.027505911886692047,998
2,-0.038906022906303406,998,0.00029999703912842054,-4.294161612961034e-07,-0.00042898673564195633,998
3,-0.03806011751294136,998,0.00029999333806634247,-1.3557374586525839e-05,-0.013543817214667797,998
4,-0.03651099279522896,998,0.00029998815663057245,-3.1692098900748533e-07,-0.000316604069666937,998
5,-0.03841682896018028,998,0.00029998149487224914,-5.000774763175286e-07,-0.000499577377922833,998
6,-0.036179959774017334,998,0.00029997335285712143,-4.9747959565138444e-06,-0.004969821311533451,998
7,-0.03831825032830238,998,0.0002999637306655477,-8.063142331593554e-07,-0.0008055079379118979,998
8,-0.036453913897275925,998,0.000299952628392495,-5.392905677581439e-06,-0.005387512966990471,998
9,-0.03685462474822998,998,0.0002999400461475385,-1.568470651136522e-07,-0.0001566902210470289,998
10,-0.037164971232414246,998,0.0002999259840548598,-3.812537396896687e-09,-3.8087248412921326e-06,998
11,0.06208089739084244,920,0.000299910442253246,-6.6645957303990144e-06,-0.00665793102234602,998
12,-0.03620734065771103,998,0.00029989342089608846,-1.0293625507529214e-07,-0.00010283332085236907,998
13,-0.03483135998249054,998,0.0002998749201513811,-2.945706114587665e-07,-0.00029427604749798775,998
14,-0.036837853491306305,998,0.00029985494020171884,-2.4063965611276217e-06,-0.0024039901327341795,998
15,-0.03508690372109413,998,0.00029983348124429566,-2.7917526495002676e-06,-0.0027889609336853027,998
16,-0.03340422362089157,998,0.0002998105434909028,-1.6630386312499468e-07,-0.0001661375572439283,998
17,-0.03556424751877785,998,0.0002997861271679266,-2.0012862478324678e-06,-0.0019992850720882416,998
18,-0.03554346784949303,998,0.0002997602325163464,-8.086443585852976e-07,-0.0008078357204794884,998
19,-0.034498076885938644,998,0.0002997328597917319,-5.233072442933917e-06,-0.005227839574217796,998
20,-0.03525996208190918,998,0.0002997040092642408,-8.109257123578573e-07,-0.0008101147832348943,998
21,-0.035216495394706726,998,0.0002996736812186163,-4.3353142586965987e-07,-0.0004330978845246136,998
22,-0.03468916192650795,998,0.0002996418759541838,-1.6919934751058463e-06,-0.0016903014620766044,998
23,-0.03460169956088066,998,0.0002996085937848486,-1.6461610357509926e-05,-0.01644514873623848,998
24,-0.03584945201873779,998,0.0002995738350390921,-3.74579758499749e-06,-0.003742051776498556,998
